2020-05-02T17:16:32.487220	Start the scrapper for instagram.
2020-05-02T17:16:33.979361	Open instagram
2020-05-02T17:16:44.900205	Login instagram
2020-05-02T17:16:45.051118	Waiting for login
2020-05-02T17:16:55.388319	Remove notification dialog
2020-05-02T17:16:56.904435	End the scrapper for instagram. See you later.
2020-05-02T17:27:33.580314	Start the scrapper for instagram.
2020-05-02T17:27:34.868710	Open instagram
2020-05-02T17:27:48.311148	Login instagram
2020-05-02T17:27:48.429079	Waiting for login
2020-05-02T17:28:02.899012	Remove notification dialog
2020-05-02T17:28:03.915426	End the scrapper for instagram. See you later.
